plant,date,VS_PS[%],T_ww[degC],HRT_AD[day],SRT_AS[day],m_PS[%],VSR_[%]
Dig5,2016-05-16,0.7525001655039798,16.81215333333336,15.230620522301168,0.0,1.0,53.7845742833346
Dig5,2016-06-29,0.6575674010328288,17.853592333333346,19.05905723176387,0.0,1.0,52.46467840381575
Dig5,2016-06-30,0.6635758375119225,17.98078666666668,18.81850017817613,0.0,1.0,52.95246761878377
Dig5,2016-07-01,0.6709878482937769,18.089290333333345,18.533572107006385,0.0,1.0,53.36169005702954
Dig5,2016-07-02,0.6784160542179131,18.200151333333345,18.60926954581257,0.0,1.0,53.69988191389758
Dig5,2016-07-03,0.6876923934163371,18.314372333333345,18.79421862716453,0.0,1.0,53.93856818754678
Dig5,2016-07-04,0.695927589846218,18.43176700000001,18.91807729767449,0.0,1.0,54.17746411790949
Dig5,2016-07-05,0.7026811619613478,18.54709700000001,19.05271644139619,0.0,1.0,54.41940291591575
Dig5,2016-07-06,0.708385064202444,18.65380466666668,19.303966340320592,0.0,1.0,54.666963098769294
Dig5,2016-07-07,0.7152823611834728,18.74323400000001,19.599418244485587,0.0,1.0,54.879548209793775
Dig5,2016-07-08,0.7222119918960925,18.820587666666675,19.79340269225767,0.0,1.0,55.10854664613966
Dig5,2016-07-09,0.7282302480677403,18.89226100000001,20.00708269404259,0.0,1.0,55.34063896377474
Dig5,2016-07-10,0.7337153401371413,18.96232700000001,20.2442494361317,0.0,1.0,55.59371293133644
Dig5,2016-07-11,0.7372053656051327,19.02441900000001,20.36638061451233,0.0,1.0,55.856572311861285
Dig5,2016-07-12,0.740084349839058,19.080239333333346,20.4495476953874,0.0,1.0,56.129393431036654
Dig5,2016-07-13,0.7438704344158069,19.11957700000001,20.32020685395221,0.0,1.0,56.396723084439934
Dig5,2016-07-14,0.747594014761097,19.16800400000001,20.055217629921746,0.0,1.0,56.66554269317145
Dig5,2016-07-15,0.7510058577672958,19.21914500000001,19.898757792125146,0.0,1.0,56.91298913089089
Dig5,2016-07-16,0.7542095919944931,19.28873133333335,19.62718931438832,0.0,1.0,57.17302371039
Dig5,2016-07-17,0.7595843353293371,19.383618000000013,19.374856871905124,0.0,1.0,57.42736612925204
Dig5,2016-07-18,0.7647026410170228,19.501652333333347,19.03383459208116,0.0,1.0,57.6869151086597
Dig5,2016-07-19,0.7696387019907603,19.647014333333345,19.04155869531583,0.0,1.0,57.96542740695797
Dig5,2016-07-20,0.7729525704454504,19.79310800000001,19.13525712791328,0.0,1.0,58.24992599851762
Dig5,2016-07-21,0.7767098607526866,19.91226833333335,19.01845982776232,0.0,1.0,58.51692147117179
Dig5,2016-07-22,0.7790505639989763,19.99939466666668,18.869569758388995,0.0,1.0,58.72285523914247
Dig5,2016-07-23,0.7818683809156728,20.071085666666683,18.78280159707061,0.0,1.0,58.8772465539446
Dig5,2016-07-24,0.7838362828498453,20.13111066666668,18.5980613022722,0.0,1.0,58.991019496165215
Dig5,2016-07-25,0.7854100755633706,20.19956433333335,18.252704003917884,0.0,1.0,59.071895216271145
Dig5,2016-07-26,0.7861938729296961,20.26495366666668,18.03093343958996,0.0,1.0,59.15372143725012
Dig5,2016-07-27,0.7862405045809077,20.325107000000017,17.95669215429442,0.0,1.0,59.22252891172312
Dig5,2016-07-28,0.7870526403628749,20.386215666666683,17.95593503628977,0.0,1.0,59.25434835508567
Dig5,2016-07-29,0.7879061724496822,20.44598933333335,17.93765656094502,0.0,1.0,59.27935876806218
Dig5,2016-07-30,0.7885300793387874,20.49801200000002,17.959875432970755,0.0,1.0,59.27185027314805
Dig5,2016-07-31,0.7896100735162356,20.547288666666688,18.043931010019268,0.0,1.0,59.311671522713645
Dig5,2016-08-01,0.7913861596285456,20.599482000000023,18.270371043091213,0.0,1.0,59.37737904547182
Dig5,2016-08-02,0.7928104057972153,20.64439333333336,18.461536481900666,0.0,1.0,59.504388330996
Dig5,2016-08-03,0.7921687163654642,20.693646333333355,18.84682060506629,0.0,1.0,59.62147261696658
Dig5,2016-08-04,0.791274598426518,20.73647433333336,19.25331179163968,0.0,1.0,59.75218716460764
Dig5,2016-08-05,0.7895466434113658,20.76694133333336,19.736808091615057,0.0,1.0,59.86243063493061
Dig5,2016-08-06,0.7881683858479448,20.80277100000002,20.15308338503661,0.0,1.0,59.96801259779135
Dig5,2016-08-07,0.7874080502776271,20.83538966666669,20.56468909802751,0.0,1.0,60.030871222515614
Dig5,2016-08-08,0.787863359058769,20.86462933333336,21.06723946022732,0.0,1.0,60.09447444216634
Dig5,2016-08-09,0.7859598084469815,20.89097233333336,21.58151229001047,0.0,1.0,60.1492189604721
Dig5,2016-08-10,0.7850711846941827,20.91609966666669,22.17812938877368,0.0,1.0,60.19488212137638
Dig5,2016-08-11,0.7846362002045688,20.944925000000023,22.63740817809154,0.0,1.0,60.20967936972536
Dig5,2016-08-12,0.7844461095055758,20.99156466666669,23.029797990713647,0.0,1.0,60.226888454971
Dig5,2016-08-13,0.7847638873486855,21.02608866666669,23.363737416535542,0.0,1.0,60.23617008629424
